"alert","package","severity","manifest","githubScope","ghsa","affectedRange","firstPatched","url"
"87","@simplewebauthn/server","low","pnpm-lock.yaml","runtime","GHSA-6hxq-p678-4hr2","<= 13.3.1","13.3.2","https://github.com/quieter-email/quieter/security/dependabot/87"
"86","fast-uri","high","pnpm-lock.yaml","runtime","GHSA-f65p-4m7j-42xc",">= 3.0.0, < 3.1.6","3.1.6","https://github.com/quieter-email/quieter/security/dependabot/86"
"85","fast-uri","high","pnpm-lock.yaml","runtime","GHSA-jqff-g426-hqxp",">= 3.0.0, < 3.1.6","3.1.6","https://github.com/quieter-email/quieter/security/dependabot/85"
"84","qs","medium","pnpm-lock.yaml","runtime","GHSA-4mjr-xmp4-gh2g",">= 2.2.5, < 6.16.0","6.16.0","https://github.com/quieter-email/quieter/security/dependabot/84"
"83","browserslist","high","pnpm-lock.yaml","runtime","GHSA-c83g-rgw3-j3cx","<= 4.28.6","4.28.7","https://github.com/quieter-email/quieter/security/dependabot/83"
"82","browserslist","high","pnpm-lock.yaml","runtime","GHSA-73wf-gq98-2v4g","<= 4.28.6","4.28.7","https://github.com/quieter-email/quieter/security/dependabot/82"
"81","qs","medium","pnpm-lock.yaml","runtime","GHSA-x5fp-wj9c-mxmx",">= 6.14.2, <= 6.15.3","6.16.0","https://github.com/quieter-email/quieter/security/dependabot/81"
"80","mysql2","medium","pnpm-lock.yaml","runtime","GHSA-rgwj-5xj2-c3m3","<= 3.23.0","3.23.1","https://github.com/quieter-email/quieter/security/dependabot/80"
"79","fast-uri","high","pnpm-lock.yaml","runtime","GHSA-fph4-wmhf-6fwf",">= 3.1.2, < 3.1.6","3.1.6","https://github.com/quieter-email/quieter/security/dependabot/79"
"78","fast-uri","high","pnpm-lock.yaml","runtime","GHSA-5jgf-p345-68v8",">= 3.1.3, < 3.1.6","3.1.6","https://github.com/quieter-email/quieter/security/dependabot/78"
"77","@tiptap/core","medium","pnpm-lock.yaml","runtime","GHSA-cp6q-959q-f8rh",">= 2.0.0-alpha.0, < 3.30.4","3.30.4","https://github.com/quieter-email/quieter/security/dependabot/77"
"76","mysql2","high","pnpm-lock.yaml","runtime","GHSA-3f6p-5ww8-9rcr","< 3.22.0","3.22.0","https://github.com/quieter-email/quieter/security/dependabot/76"
"75","deepmerge-ts","high","pnpm-lock.yaml","runtime","GHSA-ggr8-5vv4-36mx","< 8.0.0","8.0.0","https://github.com/quieter-email/quieter/security/dependabot/75"
"73","@hono/node-server","medium","pnpm-lock.yaml","runtime","GHSA-frvp-7c67-39w9","< 1.19.15","1.19.15","https://github.com/quieter-email/quieter/security/dependabot/73"
"71","hono","medium","pnpm-lock.yaml","runtime","GHSA-f23p-vx2j-j53r",">= 3.8.0, < 4.12.34","4.12.34","https://github.com/quieter-email/quieter/security/dependabot/71"
"70","hono","low","pnpm-lock.yaml","runtime","GHSA-79qm-7rj5-m7r9",">= 4.7.0, < 4.12.34","4.12.34","https://github.com/quieter-email/quieter/security/dependabot/70"
"69","js-yaml","high","pnpm-lock.yaml","runtime","GHSA-5p4m-2wfm-xmqj",">= 4.0.0, < 4.3.1","4.3.1","https://github.com/quieter-email/quieter/security/dependabot/69"
"68","hono","medium","pnpm-lock.yaml","runtime","GHSA-8j4g-w8fx-2239","< 4.12.34","4.12.34","https://github.com/quieter-email/quieter/security/dependabot/68"
