"path","area","lines","kind"
".coderabbit.yaml","root","14","configuration"
".env.example","root","0","asset/other"
".gitattributes","root","0","asset/other"
".github/VOUCHED.td",".github","0","asset/other"
".github/actions/setup/action.yml",".github","34","configuration"
".github/hooks/ultracite.json",".github","4","configuration"
".github/pull_request_template.md",".github","8","documentation"
".github/workflows/billing-maintenance.yml",".github","45","configuration"
".github/workflows/ci-main.yml",".github","170","configuration"
".github/workflows/managed-mail-r2-backfill.yml",".github","79","configuration"
".github/workflows/pr-size.yml",".github","299","configuration"
".github/workflows/pr-vouch.yml",".github","200","configuration"
".github/workflows/sdk-publish.yml",".github","84","configuration"
".github/workflows/sst-deploy.yml",".github","115","configuration"
".github/workflows/web-recovery.yml",".github","59","configuration"
".gitignore","root","0","asset/other"
".node-version","root","0","asset/other"
".npmrc","root","0","asset/other"
"AGENTS.md","root","88","documentation"
"CLAUDE.md","root","2","documentation"
"CONTRIBUTING.md","root","34","documentation"
"LICENSE","root","0","asset/other"
"README.md","root","97","documentation"
"SECURITY.md","root","47","documentation"
"THIRD_PARTY_NOTICES.md","root","16","documentation"
"apps/web/instrument.server.ts","apps/web","55","source"
"apps/web/package.json","apps/web","98","configuration"
"apps/web/public/_headers","apps/web","0","asset/other"
"apps/web/public/apple-touch-icon.png","apps/web","0","asset/other"
"apps/web/public/combination-light.svg","apps/web","0","asset/other"
"apps/web/public/combination.svg","apps/web","0","asset/other"
"apps/web/public/favicon-dev.ico","apps/web","0","asset/other"
"apps/web/public/favicon.ico","apps/web","0","asset/other"
"apps/web/public/google-calendar.svg","apps/web","0","asset/other"
"apps/web/public/icon-192.png","apps/web","0","asset/other"
"apps/web/public/icon-512.png","apps/web","0","asset/other"
"apps/web/public/icon-dev.svg","apps/web","0","asset/other"
"apps/web/public/icon-maskable-512.png","apps/web","0","asset/other"
"apps/web/public/icon.svg","apps/web","0","asset/other"
"apps/web/public/landing_ai.webp","apps/web","0","asset/other"
"apps/web/public/landing_gmail.webp","apps/web","0","asset/other"
"apps/web/public/landing_managed.webp","apps/web","0","asset/other"
"apps/web/public/landing_sending.webp","apps/web","0","asset/other"
"apps/web/public/landing_sync.webp","apps/web","0","asset/other"
"apps/web/public/landing_team_mail.webp","apps/web","0","asset/other"
"apps/web/public/linear.svg","apps/web","0","asset/other"
"apps/web/public/logo-light.svg","apps/web","0","asset/other"
"apps/web/public/logo.svg","apps/web","0","asset/other"
"apps/web/public/og-image.png","apps/web","0","asset/other"
"apps/web/public/robots.txt","apps/web","0","asset/other"
"apps/web/public/safari-pinned-tab.svg","apps/web","0","asset/other"
"apps/web/public/site.webmanifest","apps/web","0","asset/other"
"apps/web/public/wordmark-light.svg","apps/web","0","asset/other"
"apps/web/public/wordmark.svg","apps/web","0","asset/other"
"apps/web/scripts/check-worker-deployment-boundaries.ts","apps/web","153","source"
"apps/web/src/components/arrow-interaction-button.tsx","apps/web","167","source"
"apps/web/src/components/atmospheric-background.tsx","apps/web","726","source"
"apps/web/src/components/auth-route-component.tsx","apps/web","4","source"
"apps/web/src/components/auth-screen.tsx","apps/web","507","source"
"apps/web/src/components/auth-visual.tsx","apps/web","1122","source"
"apps/web/src/components/consent-manager.tsx","apps/web","73","source"
"apps/web/src/components/consent-preferences-link.tsx","apps/web","28","source"
